product_id,brand_name,pants_description,price,mrp,discount_percent,ratings,number_of_ratings
781,WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25
782,HIGHLANDER,Men Relaxed Fit Cotton Jeans,742,2249,0.67,4.1,291
783,Bene Kleed,Men Relaxed Fit Jeans,857,2599,0.67,3.6,46
784,Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16
785,HERE&NOW,Men Slim Fit Jeans,749,1499,0.5,3.8,38
786,PARIS HAMILTON,Men Bootcut Jeans,939,1999,0.53,3.6,140
787,FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124
788,HERE&NOW,Men Slouchy Fit Jeans,799,2499,0.68,4.2,157
789,Bewakoof,Men Mid-Rise Jeans,1299,1499,2,4.2,157
790,French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17
791,Roadster,Men Relaxed Fit Jeans,774,2499,0.69,3.3,23
792,bigbanana,Men Plus Size Jeans,1311,3199,0.59,3.7,19
793,Mufti,Men Slim Fit Jeans,1553,4199,0.63,3.8,22
794,Thomas Scott,Men Mid-Rise Jeans,1124,4499,0.75,3.8,22
795,Roadster,Men Straight Fit Jeans,1187,3299,0.64,3.8,22
796,Mufti,Men Super Skinny Fit Jeans,1393,3399,0.59,3.8,22
797,glitchez,Men Loose Fit Jeans,637,2199,0.71,4,40
798,Red Tape,Men Skinny Fit Jeans,1311,6399,50.88,4.1,201
799,Mufti,Men Slim Fit Jeans,1649,3299,0.5,4.2,5
800,Mast & Harbour,Men Bootcut Frayed Hem Jeans,747,2199,0.66,3.4,53
801,WROGN,Men Loose Fit Cotton Jeans,1374,2499,0.45,4.2,57
802,Flying Machine,Men Slim Fit Jeans,1829,2999,0.39,4.6,5
803,Urbano Fashion,Men Slim Fit Jeans,629,1399,0.55,4,619
804,Roadster,Men Mid-Rise Relaxed Fit Jeans,702,1899,0.63,4.1,13
805,WROGN,Men Anti Fit Jeans,1623,2799,0.42,4.2,42
806,Roadster,Men Loose Fit Jeans,883,2599,0.66,4.3,21
807,Roadster,Stretchable Jeans Jogger,974,2499,0.61,4.3,185
808,Roadster,Men Regular Fit Mid-Rise Jeans,759,1899,0.6,4,63
809,Bene Kleed,Pure Cotton Straight Fit Jeans,850,2299,0.63,3.7,102
810,Mast & Harbour,Men Joggers Style Jeans,805,2599,0.69,3.6,39
811,Flying Machine,Slim Fit Stretchable Jeans,1829,2999,0.39,3.6,39
812,glitchez,Men Wide Leg Jeans,839,2399,0.65,3.6,32
813,Urbano Fashion,Men Slim Fit Jeans,629,1399,0.55,4,559
814,Levis,Men 511 Slim Fit Jeans,1478,2899,0.49,4.3,264
815,The Indian Garage Co,Men Barrel Fit Jeans,808,2449,0.67,3.8,50
816,Roadster,Men Slim Fit Jeans,747,2199,0.66,4.2,203
817,Calvin Klein Jeans,Men Slim Fit Jeans,747,2199,0.66,4.2,203
818,Stylecast X Kotty,Men Regular Fit Mid-Rise Jeans,559,1999,0.72,3.3,60
819,HERE&NOW,Men Baggy Printed Jeans,929,2999,0.69,3.5,39
820,WROGN,Men Slim Fit Stretchable Jeans,1275,2199,0.42,4.2,130
821,Roadster,Men Slim Fit Mid-Rise Jeans,512,1899,0.73,4.2,130
822,Roadster,Men Straight Fit Jeans,645,1699,0.62,4,44
823,Flying Machine,Men Relaxed Fit Jeans,2309,3499,0.34,4,44
824,HERE&NOW,Printed Straight Fit Jeans,1177,3099,0.62,4,44
825,Roadster,Men Regular Fit Mid-Rise Jeans,628,1699,0.63,4.2,54
826,Levis,Men 511 Slim Fit Jeans,2079,3999,0.48,3.9,31
827,Roadster,Men Slim Fit Jeans,659,2199,0.7,4.1,130
828,WROGN,Men Slim Fit Jeans,1333,2299,0.42,4.1,16
829,Flying Machine,Men Slim Fit Jeans,1549,2499,0.38,4.1,16
830,Mast & Harbour,Men Slim Tapered Fit Jeans,873,1899,0.54,3.9,472
831,The Indian Garage Co,Men Mid Rise Jeans,866,2549,0.66,3.9,185
832,WROGN,Men Anti Fit Jeans,1399,2799,0.5,4.1,25
833,The Indian Garage Co,Men Bootcut Jeans,661,2449,0.73,3.5,134
834,max,Men Stretchable Jeans,799,999,2,3.7,689
835,Mufti,Men Mid-Rise Skinny Fit Jeans,1393,3399,0.59,3.8,16
836,Bene Kleed,Men Straight Fit Cargo Jeans,1247,3199,0.61,4.1,338
837,Roadster,Men Relaxed Fit  Cotton Jeans,927,3199,0.71,4.3,54
838,FUGAZEE,Men Relaxed Fit Jeans,2099,3499,0.4,3.7,124
839,glitchez,Men Light Fade Bootcut Jeans,543,1699,0.68,3.7,59
840,Roadster,Men Cotton Relaxed Fit Jeans,724,2499,0.71,3.9,180
841,French Connection,Men Slim Fit Jeans,1294,3499,0.63,4.4,17
